Timestamp,Price
2018-10-11 00:00:00,6582.455082387102
2018-10-12 00:00:00,6234.367641454442
2018-10-13 00:00:00,6285.592982799844
2018-10-14 00:00:00,6314.883384422573
2018-10-15 00:00:00,6328.554760034424
2018-10-16 00:00:00,6659.87550840943
2018-10-17 00:00:00,6635.125667516839
2018-10-18 00:00:00,6635.741832487943
2018-10-19 00:00:00,6517.511087710534
2018-10-20 00:00:00,6483.827769471798
2018-10-21 00:00:00,6532.678750383806
2018-10-22 00:00:00,6529.670021370842
2018-10-23 00:00:00,6512.589059298922
2018-10-24 00:00:00,6472.799660641591
2018-10-25 00:00:00,6481.443589558082
2018-10-26 00:00:00,6458.191521836801
2018-10-27 00:00:00,6468.826424965618
2018-10-28 00:00:00,6457.058635186671
2018-10-29 00:00:00,6481.323141667608
2018-10-30 00:00:00,6292.6479239344
2018-10-31 00:00:00,6331.781807909807
2018-11-01 00:00:00,6366.720109554257
2018-11-02 00:00:00,6379.972972168429
2018-11-03 00:00:00,6425.4415830402095
2018-11-04 00:00:00,6388.1897883073725
2018-11-05 00:00:00,6351.061941056285
2018-11-06 00:00:00,6415.443408541094
2018-11-07 00:00:00,6474.847290336688
2018-11-08 00:00:00,6574.801180290013
2018-11-09 00:00:00,6490.454730761757
2018-11-10 00:00:00,6413.78203857173
2018-11-11 00:00:00,6429.898792074219
2018-11-12 00:00:00,6434.2845969255495
2018-11-13 00:00:00,6411.353436205148
2018-11-14 00:00:00,6394.289276264062
2018-11-15 00:00:00,5788.612494046974
2018-11-16 00:00:00,5686.541131058274
2018-11-17 00:00:00,5609.956182334204
2018-11-18 00:00:00,5599.1915956893035
2018-11-19 00:00:00,5638.861481452398
2018-11-20 00:00:00,4889.197859239111
2018-11-21 00:00:00,4450.711454417822
2018-11-22 00:00:00,4613.44841218385
2018-11-23 00:00:00,4307.388731717267
2018-11-24 00:00:00,4376.904946801552
2018-11-25 00:00:00,3895.8368129589876
2018-11-26 00:00:00,4039.836551137432
2018-11-27 00:00:00,3811.9235292664935
2018-11-28 00:00:00,3832.92451590069
2018-11-29 00:00:00,4267.243628990657
2018-11-30 00:00:00,4279.475592548712
2018-12-01 00:00:00,4009.6895798259993
2018-12-02 00:00:00,4189.573822999859
2018-12-03 00:00:00,4124.593548643215
2018-12-04 00:00:00,3878.8392347832714
2018-12-05 00:00:00,3943.6928120656007
2018-12-06 00:00:00,3751.691966395661
2018-12-07 00:00:00,3466.763863771732
2018-12-08 00:00:00,3408.5236170431267
2018-12-09 00:00:00,3424.7058606626006
2018-12-10 00:00:00,3550.546433896889
2018-12-11 00:00:00,3433.8084404312785
2018-12-12 00:00:00,3378.808778413106
2018-12-13 00:00:00,3438.1000735289817
2018-12-14 00:00:00,3294.636156545267
2018-12-15 00:00:00,3216.6271499079407
2018-12-16 00:00:00,3221.9762037129963
2018-12-17 00:00:00,3217.0468349697426
2018-12-18 00:00:00,3506.2170132794818
2018-12-19 00:00:00,3655.775045729801
2018-12-20 00:00:00,3687.750553192723
2018-12-21 00:00:00,4065.097238010126
2018-12-22 00:00:00,3846.2274979885774
2018-12-23 00:00:00,3960.567773408038
2018-12-24 00:00:00,3941.617740158326
2018-12-25 00:00:00,4021.990255345401
2018-12-26 00:00:00,3759.1784268965694
2018-12-27 00:00:00,3781.613081593353
2018-12-28 00:00:00,3587.703880138819
2018-12-29 00:00:00,3854.4210969825917
2018-12-30 00:00:00,3778.193939889601
2018-12-31 00:00:00,3809.7282286410905
2019-01-01 00:00:00,3692.5315655246986
2019-01-02 00:00:00,3794.2642537397164
2019-01-03 00:00:00,3872.1721842228935
2019-01-04 00:00:00,3776.525807694106
2019-01-05 00:00:00,3815.268079882635
2019-01-06 00:00:00,3787.3078571242845
2019-01-07 00:00:00,4013.5200912973864
2019-01-08 00:00:00,3989.6687175387638
2019-01-09 00:00:00,3973.5912546157865
2019-01-10 00:00:00,3982.2259127624075
2019-01-11 00:00:00,3623.8477291056797
2019-01-12 00:00:00,3632.849306434781
2019-01-13 00:00:00,3598.4363465618803
2019-01-14 00:00:00,3495.832311307438
2019-01-15 00:00:00,3648.04828565649
2019-01-16 00:00:00,3567.801243199206
2019-01-17 00:00:00,3597.6473233295915
2019-01-18 00:00:00,3620.9812811457246
2019-01-19 00:00:00,3597.7932517701506
2019-01-20 00:00:00,3674.587270857304
2019-01-21 00:00:00,3539.167531041029
2019-01-22 00:00:00,3531.004182799933
2019-01-23 00:00:00,3571.2669080928695
2019-01-24 00:00:00,3555.7000025226243
2019-01-25 00:00:00,3565.6420046170365
2019-01-26 00:00:00,3564.822417111422
2019-01-27 00:00:00,3563.614563419144
2019-01-28 00:00:00,3553.121681129778
2019-01-29 00:00:00,3432.215668301249
2019-01-30 00:00:00,3413.3754832497975
2019-01-31 00:00:00,3457.8826491759864
2019-02-01 00:00:00,3431.943637864456
2019-02-02 00:00:00,3464.490147562154
2019-02-03 00:00:00,3486.581616258029
2019-02-04 00:00:00,3454.025843825187
2019-02-05 00:00:00,3464.003508861087
2019-02-06 00:00:00,3469.8946770792636
2019-02-07 00:00:00,3405.836861256719
2019-02-08 00:00:00,3394.0146529587223
2019-02-09 00:00:00,3664.2821026589836
2019-02-10 00:00:00,3667.4082642899566
2019-02-11 00:00:00,3675.6916291247258
2019-02-12 00:00:00,3631.444539729949
2019-02-13 00:00:00,3633.9650467461183
2019-02-14 00:00:00,3610.0622730634022
2019-02-15 00:00:00,3589.661829626318
2019-02-16 00:00:00,3601.2291913968643
2019-02-17 00:00:00,3622.5916530750715
